tech_id,text,tech_name,top_tech_id,dataset,clean,sanitized
T1059.001,AAD Internals is a PowerShell module where I’ve tried to put all the knowledge I’ve gained during the years spent with Office 365 and Azure AD.,Command and Scripting Interpreter: PowerShell,T1059,manual,AAD Internals is a PowerShell module where I’ve tried to put all the knowledge I’ve gained during the years spent with Office 365 and Azure AD.,False
T1059.001,Run and the AppleSeed payload executed through PowerShell by calling regsvr32.exe.,Command and Scripting Interpreter: PowerShell,T1059,manual,Run and the AppleSeed payload executed through PowerShell by calling file.,True
T1059.001,The shellcode invokes PowerShell to issue a HTTP GET request for a random four (4) character URI on the root of autodiscovery[.]2bunny[.]com.,Command and Scripting Interpreter: PowerShell,T1059,manual,The shellcode invokes PowerShell to issue a HTTP GET request for a random four (4) character URI on the root of autodiscovery[.]2bunny[.]com.,True
T1059.001,"The following shows this unused command, which exposed an additional server within Sofacy’s infrastructure would download and execute an encoded PowerShell script from 92.114.92[.]102:",Command and Scripting Interpreter: PowerShell,T1059,manual,"The following shows this unused command, which exposed an additional server within Sofacy’s infrastructure would download and execute an encoded PowerShell script from 92.114.92[.]102:",True
T1059.001,"Using the “reverse shell” method mentioned above, the attacker can exfiltrate data/documents using the following commands: powershell -command ""[Convert]::ToBase64String([IO.File]::ReadAllBytes('{filename}')",Command and Scripting Interpreter: PowerShell,T1059,manual,"Using the “reverse shell” method mentioned above, the attacker can exfiltrate data/documents using the following commands: powershell -command ""[Convert]::ToBase64String([IO.File]::ReadAllBytes('{filename}')",False
T1059.001,The actors used a Powershell® cmdlet (New- ManagementRoleAssignment) to grant the 'ApplicationImpersonation' role to a compromised account.,Command and Scripting Interpreter: PowerShell,T1059,manual,The actors used a Powershell® cmdlet (New- ManagementRoleAssignment) to grant the 'ApplicationImpersonation' role to a compromised account.,False
T1059.001,The attacker was quite adept with Exchange and immediately listed various organization configuration settings via PowerShell.,Command and Scripting Interpreter: PowerShell,T1059,manual,The attacker was quite adept with Exchange and immediately listed various organization configuration settings via PowerShell.,False
T1059.001,"Lateral movement was observed via PowerShell remote task creation, as detailed by FireEye and Volexity",Command and Scripting Interpreter: PowerShell,T1059,manual,"Lateral movement was observed via PowerShell remote task creation, as detailed by FireEye and Volexity",False
T1059.001,One such task (an encoded PowerShell script) instructed Cozyduke to download and execute Seaduke from a compromised website,Command and Scripting Interpreter: PowerShell,T1059,manual,One such task (an encoded PowerShell script) instructed Cozyduke to download and execute Seaduke from a compromised website,False
T1059.001,"But - when an attacker uses PowerShell, WMI, Kerberos attacks, novel persistence mechanisms, seemingly unlimited C2 infrastructure and half-a-dozen rapidly-evolving malware families across a 100k node network to compromise the environment at a rate of 10 systems per day - the cumulative challenges can become overwhelming.",Command and Scripting Interpreter: PowerShell,T1059,manual,"But - when an attacker uses PowerShell, WMI, Kerberos attacks, novel persistence mechanisms, seemingly unlimited C2 infrastructure and half-a-dozen rapidly-evolving malware families across a 100k node network to compromise the environment at a rate of 10 systems per day - the cumulative challenges can become overwhelming.",False
T1059.001,"The shortcut file was crafted to execute a PowerShell command that read, decoded, and executed additional code from within the shortcut file.",Command and Scripting Interpreter: PowerShell,T1059,manual,"The shortcut file was crafted to execute a PowerShell command that read, decoded, and executed additional code from within the shortcut file.",False
T1059.001,"The threat actor connected via Remote Desktop from a Domain Controller to a vCenter server and opened a PowerShell console, then used the PowerShell command -ep bypass to circumvent the execution policy",Command and Scripting Interpreter: PowerShell,T1059,manual,"The threat actor connected via Remote Desktop from a Domain Controller to a vCenter server and opened a PowerShell console, then used the PowerShell command -ep bypass to circumvent the execution policy",False
T1059.001,The group seems to be adept at developing and deploying custom PowerShell malware and may even develop PowerShell-based tools specific to a single operation.,Command and Scripting Interpreter: PowerShell,T1059,manual,The group seems to be adept at developing and deploying custom PowerShell malware and may even develop PowerShell-based tools specific to a single operation.,False
