tech_id,tech_name,text,section
T1564.002,Hide Artifacts: Hidden Users,"Adversaries may use hidden users to hide the presence of user accounts they create or modify. Administrators may want to hide users when there are many user accounts on a given system or if they want to hide their administrative or other management accounts from other users.    In macOS, adversaries can create or modify a user to be hidden through manipulating plist files, folder attributes, and user attributes. To prevent a user from being shown on the login screen and in System Preferences, adversaries can set the userID to be under 500 and set the key value  Hide500Users  to  TRUE  in the  /Library/Preferences/com.apple.loginwindow  plist file.   [1]    Every user has a userID associated with it. When the  Hide500Users  key value is set to  TRUE , users with a userID under 500 do not appear on the login screen and in System Preferences. Using the command line, adversaries can use the  dscl  utility to create hidden user accounts by setting the  IsHidden  attribute to  1 . Adversaries can also hide a user’s home folder by changing the  chflags  to hidden.   [2]       Adversaries may similarly hide user accounts in Windows. Adversaries can set the  HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\SpecialAccounts\UserList  Registry key value to  0  for a specific user to prevent that user from being listed on the logon screen.   [3]      [4]      On Linux systems, adversaries may hide user accounts from the login screen, also referred to as the greeter. The method an adversary may use depends on which Display Manager the distribution is currently using. For example, on an Ubuntu system using the GNOME Display Manger (GDM), accounts may be hidden from the greeter using the  gsettings  command (ex:  sudo -u gdm gsettings set org.gnome.login-screen disable-user-list true ).   [5]    Display Managers are not anchored to specific distributions and may be changed by a user or adversary.",Description
T1564.002,Hide Artifacts: Hidden Users,Dragonfly  has modified the Registry to hide created user accounts.   [4],Procedure Examples
T1564.002,Hide Artifacts: Hidden Users,Kimsuky  has run  reg add ‘HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\SpecialAccounts\UserList’ /v  to hide a newly created user.   [6],Procedure Examples
T1564.002,Hide Artifacts: Hidden Users,SMOKEDHAM  has modified the Registry to hide created user accounts from the Windows logon screen.    [3],Procedure Examples
T1480,Execution Guardrails,"Adversaries may use execution guardrails to constrain execution or actions based on adversary supplied and environment specific conditions that are expected to be present on the target. Guardrails ensure that a payload only executes against an intended target and reduces collateral damage from an adversary’s campaign.   [1]    Values an adversary can provide about a target system or environment to use as guardrails may include specific network share names, attached physical devices, files, joined Active Directory (AD) domains, and local/external IP addresses.   [2]      Guardrails can be used to prevent exposure of capabilities in environments that are not intended to be compromised or operated within. This use of guardrails is distinct from typical  Virtualization/Sandbox Evasion . While use of  Virtualization/Sandbox Evasion  may involve checking for known sandbox values and continuing with execution only if there is no match, the use of guardrails will involve checking for an expected target-specific value and only continuing with execution if there is such a match.",Description
T1480,Execution Guardrails,Anchor  can terminate itself if specific execution flags are not present.   [3],Procedure Examples
T1480,Execution Guardrails,BitPaymer  compares file names and paths to a list of excluded names and directory names during encryption.   [4],Procedure Examples
T1480,Execution Guardrails,BoomBox  can check its current working directory and for the presence of a specific file and terminate if specific values are not found.   [5],Procedure Examples
T1480,Execution Guardrails,"EnvyScout  can call  window.location.pathname  to ensure that embedded files are being executed from the C: drive, and will terminate if they are not.   [5]",Procedure Examples
T1480,Execution Guardrails,NativeZone  can check for the presence of KM.EkeyAlmaz1C.dll and will halt execution unless it is in the same directory as the rest of the malware's components.   [5]      [6],Procedure Examples
