tech_id,text,tech_name,top_tech_id,dataset,ioc,ioc_value
T1059.001,Run and the AppleSeed payload executed through PowerShell by calling regsvr32.exe.,PowerShell,T1059,manual,file,regsvr32.exe
T1059.001,The shellcode invokes PowerShell to issue a HTTP GET request for a random four (4) character URI on the root of autodiscovery[.]2bunny[.]com.,PowerShell,T1059,manual,domain,autodiscovery.2bunny.com
T1059.001,"The following shows this unused command, which exposed an additional server within Sofacy’s infrastructure would download and execute an encoded PowerShell script from 92.114.92[.]102:",PowerShell,T1059,manual,ip-address,92.114.92.102
T1059.001,The webpage contained both CVE-2014-6332 exploit code and a VBScript that invoked PowerShell on the affected users’ system to download the below payload:,PowerShell,T1059,manual,cve,CVE-2014-6332
T1059.001,"Obfuscated PowerShell delivering Cobalt Strike Beacon - The contents of the “microsoft.jpg” file is, in fact, an obfuscated PowerShell payload ",PowerShell,T1059,manual,file,microsoft.jpg
T1059.001,"This initial foothold allowed HOLMIUM to run their custom PowerShell backdoor (known as POWERTON) directly from an Outlook process and to perform the installation of additional payloads on the endpoint with different persistence mechanisms, such as WMI subscription (T1084) or registry autorun keys (T1060).",PowerShell,T1059,manual,mitre-attack,T1060
T1059.001,"This initial foothold allowed HOLMIUM to run their custom PowerShell backdoor (known as POWERTON) directly from an Outlook process and to perform the installation of additional payloads on the endpoint with different persistence mechanisms, such as WMI subscription (T1084) or registry autorun keys (T1060).",PowerShell,T1059,manual,mitre-attack,T1084
T1059.001,"Use scripts (e.g., VBScript and PowerShell) to speed up operational tasks, reduce the time required to gain access to critical resources, and bypass process monitoring mechanisms by directly interacting with the operating system (OS) at an Application Programming Interface (API) level instead of calling other programs (Command and Scripting Interpreter: PowerShell [T1059.001], Command and Scripting Interpreter: Visual Basic [T1059.005])",PowerShell,T1059,manual,mitre-attack,T1059.005
T1059.001,"Use scripts (e.g., VBScript and PowerShell) to speed up operational tasks, reduce the time required to gain access to critical resources, and bypass process monitoring mechanisms by directly interacting with the operating system (OS) at an Application Programming Interface (API) level instead of calling other programs (Command and Scripting Interpreter: PowerShell [T1059.001], Command and Scripting Interpreter: Visual Basic [T1059.005])",PowerShell,T1059,manual,mitre-attack,T1059.001
T1059.001,"In the first variation the CVE-2020-10189 exploit was used to directly upload “logger.zip”, a simple Java based program, which contained a set of commands to use PowerShell to download and execute install.bat and storesyncsvc.dll.",PowerShell,T1059,manual,domain,logger.zip
T1059.001,"In the first variation the CVE-2020-10189 exploit was used to directly upload “logger.zip”, a simple Java based program, which contained a set of commands to use PowerShell to download and execute install.bat and storesyncsvc.dll.",PowerShell,T1059,manual,cve,CVE-2020-10189
T1059.001,"In the first variation the CVE-2020-10189 exploit was used to directly upload “logger.zip”, a simple Java based program, which contained a set of commands to use PowerShell to download and execute install.bat and storesyncsvc.dll.",PowerShell,T1059,manual,file,install.bat
T1059.001,"In the first variation the CVE-2020-10189 exploit was used to directly upload “logger.zip”, a simple Java based program, which contained a set of commands to use PowerShell to download and execute install.bat and storesyncsvc.dll.",PowerShell,T1059,manual,file,storesyncsvc.dll
T1203,"The “WmiApCom.bat” file is simply used to start “WmiApCom”, which happens to be the exact same file as the one dropped by the malicious Word documents. However, this is most likely meant to be a mechanism to update the compromised host with a new version of the LOWBALL malware.",Exploitation for Client Execution,T1203,manual,file,WmiApCom.bat
T1203,"Specially-crafted documents, exploiting Office vulnerabilities such as CVE-2017-11882 and CVE-2017-8570, have been leveraged, even in present day campaigns.",Exploitation for Client Execution,T1203,manual,cve,CVE-2017-11882
T1203,"Specially-crafted documents, exploiting Office vulnerabilities such as CVE-2017-11882 and CVE-2017-8570, have been leveraged, even in present day campaigns.",Exploitation for Client Execution,T1203,manual,cve,CVE-2017-8570
T1203,Same initial delivery method (spear phishing email) with a Microsoft Word Document exploiting CVE-2012-0158.,Exploitation for Client Execution,T1203,manual,cve,CVE-2012-0158
T1203,"Sofacy kicked off the year deploying two 0day in a spearphish document, both a Microsoft Office encapsulated postscript type confusion exploit (abusing CVE-2017-0262) and an escalation of privilege use-after-free exploit (abusing CVE-2017-0263).",Exploitation for Client Execution,T1203,manual,cve,CVE-2017-0263
T1203,"Sofacy kicked off the year deploying two 0day in a spearphish document, both a Microsoft Office encapsulated postscript type confusion exploit (abusing CVE-2017-0262) and an escalation of privilege use-after-free exploit (abusing CVE-2017-0263).",Exploitation for Client Execution,T1203,manual,cve,CVE-2017-0262
T1203,"Elfin attempted to exploit a known vulnerability (CVE-2018-20250) in WinRAR, the widely used file archiving and compression utility capable of creating self-extracting archive files.",Exploitation for Client Execution,T1203,manual,cve,CVE-2018-20250
T1203,"HOLMIUM has been observed using various vectors for initial access, including spear-phishing email, sometimes carrying archive attachments that exploit the CVE-2018-20250 vulnerability in WinRAR, and password-spraying.",Exploitation for Client Execution,T1203,manual,cve,CVE-2018-20250
